,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
279,1400000US48029181704,55514,4797,1140,106400.0,48,029,181704,2012,4.207894736842105
280,1400000US48029181711,76866,6736,1012,142300.0,48,029,181711,2012,6.6561264822134385
281,1400000US48029161000,25325,1487,2212,55200.0,48,029,161000,2012,0.6722423146473779
282,1400000US48029161501,34805,3682,3650,76700.0,48,029,161501,2012,1.0087671232876712
283,1400000US48029162001,38846,2213,408,77500.0,48,029,162001,2012,5.424019607843137
284,1400000US48029170102,31622,2267,1945,48000.0,48,029,170102,2012,1.1655526992287917
285,1400000US48029171100,19844,2533,904,62400.0,48,029,171100,2012,2.8019911504424777
286,1400000US48029180702,35576,2174,4230,134100.0,48,029,180702,2012,0.5139479905437352
287,1400000US48029180901,46487,3692,1682,92900.0,48,029,180901,2012,2.1950059453032105
288,1400000US48029181303,27808,239,2735,169100.0,48,029,181303,2012,0.08738574040219378
289,1400000US48029181504,32379,1663,4205,136300.0,48,029,181504,2012,0.39548156956004754
290,1400000US48029181601,44457,1674,1445,104200.0,48,029,181601,2012,1.158477508650519
291,1400000US48029181705,47308,2690,2177,130600.0,48,029,181705,2012,1.2356453835553514
292,1400000US48029151200,39898,6158,3246,76900.0,48,029,151200,2012,1.8971041281577325
293,1400000US48029110700,21523,406,1617,92100.0,48,029,110700,2012,0.2510822510822511
294,1400000US48029190400,66989,1451,622,379100.0,48,029,190400,2012,2.332797427652733
295,1400000US48029121108,48780,4333,2727,176800.0,48,029,121108,2012,1.5889255592225888
296,1400000US48029150800,17055,766,1977,75600.0,48,029,150800,2012,0.3874557410217501
297,1400000US48029171200,29444,2693,1303,57400.0,48,029,171200,2012,2.066768994627782
298,1400000US48029141800,36719,3482,1264,79400.0,48,029,141800,2012,2.7547468354430378
299,1400000US48029171912,74486,5112,957,146400.0,48,029,171912,2012,5.341692789968652
300,1400000US48029181712,58892,2825,889,133100.0,48,029,181712,2012,3.1777277840269966
301,1400000US48029181602,36800,2998,3076,108900.0,48,029,181602,2012,0.9746423927178154
302,1400000US48029121505,54094,3485,1173,102800.0,48,029,121505,2012,2.971014492753623
303,1400000US48029140300,34193,2063,1328,59400.0,48,029,140300,2012,1.5534638554216869
304,1400000US48029152000,38664,401,1039,141400.0,48,029,152000,2012,0.3859480269489894
305,1400000US48029170101,30478,2542,1299,51300.0,48,029,170101,2012,1.9568899153194765
306,1400000US48029171802,30106,2896,3233,62400.0,48,029,171802,2012,0.8957624497370863
307,1400000US48029120702,69783,2507,1898,299100.0,48,029,120702,2012,1.3208640674394099
308,1400000US48029121300,60248,4315,1580,155500.0,48,029,121300,2012,2.731012658227848
309,1400000US48029121501,64315,5742,1681,133900.0,48,029,121501,2012,3.415823914336704
310,1400000US48029121507,53085,3210,1291,99600.0,48,029,121507,2012,2.4864446165762972
311,1400000US48029131200,29426,1720,1283,74100.0,48,029,131200,2012,1.3406079501169135
312,1400000US48029140100,35313,739,990,75200.0,48,029,140100,2012,0.7464646464646465
313,1400000US48029140400,33408,2153,1757,75400.0,48,029,140400,2012,1.2253841775754126
